date,player,team,opp,market,line,proj_lambda,lam_scale_mean,p_over,side,chosen_prob
2026-01-24,Frederik Andersen,CAR,OTT,SAVES,30.5,4.8536,1.0,0.002965,Under,0.997035
2026-01-24,Matt Grzelcyk,CHI,,BLOCKS,3.5,0.304,1.0,0.002972,Under,0.997028
2026-01-24,Akira Schmid,VGK,,SAVES,30.5,4.8048,1.0,0.002985,Under,0.997015
2026-01-24,Anthony Duclair,NYI,BUF,BLOCKS,3.5,0.3054,1.0,0.002985,Under,0.997015
2026-01-24,Oliver Kapanen,MTL,BOS,BLOCKS,3.5,0.3154,0.98,0.00303,Under,0.99697
2026-01-24,Pius Suter,STL,LAK,BLOCKS,2.5,0.1742,1.0,0.003038,Under,0.996962
2026-01-24,Connor Zary,CGY,,BLOCKS,2.5,0.1707,1.0,0.003046,Under,0.996954
2026-01-24,Matt Coronato,CGY,,BLOCKS,2.5,0.171,1.0,0.00306,Under,0.99694
2026-01-24,Hunter Brzustewicz,CGY,,BLOCKS,2.5,0.171,1.0,0.00306,Under,0.99694
2026-01-24,Samuel Honzek,CGY,,BLOCKS,2.5,0.171,1.0,0.00306,Under,0.99694
2026-01-24,Justin Brazeau,PIT,,BLOCKS,3.5,0.3103,1.0,0.003064,Under,0.996936
2026-01-24,Kevin Hayes,PIT,,BLOCKS,3.5,0.3103,1.0,0.003064,Under,0.996936
2026-01-24,Tommy Novak,PIT,,BLOCKS,3.5,0.3103,1.0,0.003064,Under,0.996936
2026-01-24,Jonah Gadjovich,FLA,MIN,BLOCKS,3.5,0.3027,1.0,0.003079,Under,0.996921
2026-01-24,Brandon Saad,VGK,,BLOCKS,2.5,0.1689,1.0,0.003089,Under,0.996911
2026-01-24,Kasperi Kapanen,EDM,WSH,BLOCKS,3.5,0.3154,1.0,0.003106,Under,0.996894
2026-01-24,Fedor Svechkov,NSH,UTA,BLOCKS,3.5,0.3114,1.0,0.003188,Under,0.996812
2026-01-24,Matt Duchene,DAL,,BLOCKS,2.5,0.1741,1.0,0.003206,Under,0.996794
2026-01-24,Roope Hintz,DAL,,BLOCKS,2.5,0.1741,1.0,0.003206,Under,0.996794
2026-01-24,Justin Hryckowian,DAL,,BLOCKS,2.5,0.1741,1.0,0.003206,Under,0.996794
2026-01-24,Teuvo Teravainen,CHI,,BLOCKS,3.5,0.3121,1.0,0.00322,Under,0.99678
2026-01-24,Andre Burakovsky,CHI,,BLOCKS,3.5,0.3121,1.0,0.00322,Under,0.99678
2026-01-24,Eric Comrie,WPG,DET,SAVES,26.5,4.2454,1.0,0.003228,Under,0.996772
2026-01-24,Alex Killorn,ANA,,BLOCKS,2.5,0.1744,1.0,0.003259,Under,0.996741
2026-01-24,Sam Colangelo,ANA,,BLOCKS,2.5,0.1744,1.0,0.003259,Under,0.996741
2026-01-24,Mason McTavish,ANA,,BLOCKS,2.5,0.1744,1.0,0.003259,Under,0.996741
2026-01-24,Leo Carlsson,ANA,,BLOCKS,2.5,0.1744,1.0,0.003259,Under,0.996741
2026-01-24,Jamie Benn,DAL,,BLOCKS,3.5,0.3165,1.0,0.003268,Under,0.996732
2026-01-24,Trent Frederic,EDM,WSH,BLOCKS,1.5,0.0617,1.0,0.003284,Under,0.996716
2026-01-24,Joe Veleno,MTL,BOS,BLOCKS,1.5,0.0628,0.98,0.003303,Under,0.996697
2026-01-24,Wyatt Kaiser,CHI,,BLOCKS,3.5,0.3152,1.0,0.003319,Under,0.996681
2026-01-24,Kaapo Kakko,SEA,,BLOCKS,1.5,0.0606,1.0,0.003333,Under,0.996667
2026-01-24,Max Sasson,VAN,,BLOCKS,3.5,0.315,1.0,0.003379,Under,0.996621
2026-01-24,Albert Johansson,DET,WPG,BLOCKS,2.5,0.1774,1.0,0.003409,Under,0.996591
2026-01-24,J.T. Compher,DET,WPG,BLOCKS,3.5,0.3199,1.0,0.003424,Under,0.996576
2026-01-24,Jesper Bratt,NJD,,BLOCKS,3.5,0.3233,1.0,0.003463,Under,0.996537
2026-01-24,Arseny Gritsyuk,NJD,,BLOCKS,3.5,0.3233,1.0,0.003463,Under,0.996537
2026-01-24,Carter Verhaeghe,FLA,MIN,BLOCKS,2.5,0.177,1.0,0.003543,Under,0.996457
2026-01-24,Mackie Samoskevich,FLA,MIN,BLOCKS,2.5,0.177,1.0,0.003543,Under,0.996457
2026-01-24,Valeri Nichushkin,COL,,BLOCKS,2.5,0.1829,1.0,0.003545,Under,0.996455
2026-01-24,Marcus Johansson,MIN,FLA,BLOCKS,2.5,0.1774,1.0,0.003563,Under,0.996437
2026-01-24,Vladimir Tarasenko,MIN,FLA,BLOCKS,2.5,0.1774,1.0,0.003563,Under,0.996437
2026-01-24,Nico Sturm,MIN,FLA,BLOCKS,2.5,0.1774,1.0,0.003563,Under,0.996437
2026-01-24,Kirill Kaprizov,MIN,FLA,BLOCKS,2.5,0.1774,1.0,0.003563,Under,0.996437
2026-01-24,Spencer Martin,NYR,,SAVES,30.5,4.9886,1.0,0.00358,Under,0.99642
2026-01-24,Ross Colton,COL,,BLOCKS,3.5,0.3303,1.0,0.003602,Under,0.996398
2026-01-24,Dylan Larkin,DET,WPG,BLOCKS,2.5,0.1815,1.0,0.003613,Under,0.996387
2026-01-24,Matt Rempe,NYR,,BLOCKS,3.5,0.3243,1.0,0.003633,Under,0.996367
2026-01-24,Arber Xhekaj,MTL,BOS,BLOCKS,3.5,0.3349,0.98,0.003635,Under,0.996365
2026-01-24,Andre Lee,LAK,STL,BLOCKS,2.5,0.1873,1.0,0.003659,Under,0.996341
2026-01-24,Curtis Lazar,EDM,WSH,BLOCKS,3.5,0.3328,1.0,0.00366,Under,0.99634
2026-01-24,Matvei Michkov,PHI,,BLOCKS,3.5,0.3199,1.0,0.003703,Under,0.996297
2026-01-24,Michael Bunting,NSH,UTA,BLOCKS,1.5,0.0647,1.0,0.003721,Under,0.996279
2026-01-24,Jakob Pelletier,TBL,CBJ,BLOCKS,3.5,0.3311,1.0,0.003729,Under,0.996271
2026-01-24,Nikolaj Ehlers,CAR,OTT,BLOCKS,3.5,0.328,1.0,0.00373,Under,0.99627
2026-01-24,Taylor Hall,CAR,OTT,BLOCKS,3.5,0.328,1.0,0.00373,Under,0.99627
2026-01-24,Nicolas Deslauriers,PHI,,BLOCKS,3.5,0.3228,1.0,0.003806,Under,0.996194
2026-01-24,Sean Couturier,PHI,,BLOCKS,3.5,0.3228,1.0,0.003806,Under,0.996194
2026-01-24,Christian Dvorak,PHI,,BLOCKS,3.5,0.3228,1.0,0.003806,Under,0.996194
2026-01-24,Marco Kasper,DET,WPG,BLOCKS,3.5,0.3325,1.0,0.003848,Under,0.996152
2026-01-24,Martin Necas,COL,,BLOCKS,2.5,0.1892,1.0,0.003863,Under,0.996137
2026-01-24,Joel Kiviranta,COL,,BLOCKS,2.5,0.1892,1.0,0.003863,Under,0.996137
2026-01-24,Ozzy Wiesblatt,NSH,UTA,BLOCKS,3.5,0.3324,1.0,0.003887,Under,0.996113
2026-01-24,Jeff Skinner,SJS,,BLOCKS,2.5,0.1878,1.0,0.00389,Under,0.99611
2026-01-24,Anders Lee,NYI,BUF,BLOCKS,2.5,0.1873,1.0,0.003899,Under,0.996101
2026-01-24,Jack Quinn,BUF,NYI,BLOCKS,2.5,0.1892,1.0,0.003997,Under,0.996003
2026-01-24,Jake Oettinger,DAL,,SAVES,24.5,4.1332,1.0,0.004113,Under,0.995887
2026-01-24,Nils Aman,VAN,,BLOCKS,2.5,0.1899,1.0,0.00414,Under,0.99586
2026-01-24,Corey Perry,LAK,STL,BLOCKS,3.5,0.3503,1.0,0.004145,Under,0.995855
2026-01-24,Brady Tkachuk,OTT,CAR,BLOCKS,3.5,0.3414,1.0,0.004205,Under,0.995795
2026-01-24,David Perron,OTT,CAR,BLOCKS,3.5,0.3414,1.0,0.004205,Under,0.995795
2026-01-24,Jacob Bryson,BUF,NYI,BLOCKS,2.5,0.1932,1.0,0.004212,Under,0.995788
2026-01-24,Ilya Mikheyev,CHI,,BLOCKS,2.5,0.1924,1.0,0.004212,Under,0.995788
2026-01-24,Nick Lardis,CHI,,BLOCKS,2.5,0.1924,1.0,0.004212,Under,0.995788
2026-01-24,Frederik Andersen,CAR,OTT,SAVES,28.5,4.8536,1.0,0.004258,Under,0.995742
2026-01-24,Akira Schmid,VGK,,SAVES,28.5,4.8048,1.0,0.004264,Under,0.995736
2026-01-24,Martin Pospisil,CGY,,BLOCKS,3.5,0.347,1.0,0.004312,Under,0.995688
2026-01-24,Zayne Parekh,CGY,,BLOCKS,3.5,0.347,1.0,0.004312,Under,0.995688
2026-01-24,Kyle MacLean,NYI,BUF,BLOCKS,2.5,0.1966,1.0,0.0044,Under,0.9956
2026-01-24,Brock Boeser,VAN,,BLOCKS,3.5,0.3442,1.0,0.004409,Under,0.995591
2026-01-24,Matthew Tkachuk,FLA,MIN,BLOCKS,3.5,0.3414,1.0,0.004417,Under,0.995583
2026-01-24,Miles Wood,CBJ,TBL,BLOCKS,2.5,0.198,1.0,0.004431,Under,0.995569
2026-01-24,Jonathan Aspirot,BOS,MTL,BLOCKS,3.5,0.3458,1.02,0.004507,Under,0.995493
2026-01-24,Tyson Jost,NSH,UTA,BLOCKS,2.5,0.198,1.0,0.004546,Under,0.995454
2026-01-24,Matthew Wood,NSH,UTA,BLOCKS,2.5,0.198,1.0,0.004546,Under,0.995454
2026-01-24,Nikita Grebenkin,PHI,,BLOCKS,2.5,0.1944,1.0,0.00455,Under,0.99545
2026-01-24,Johnathan Kovacevic,NJD,,BLOCKS,3.5,0.3541,1.0,0.004555,Under,0.995445
2026-01-24,Patrick Kane,DET,WPG,BLOCKS,2.5,0.1992,1.0,0.00457,Under,0.99543
2026-01-24,Calum Ritchie,NYI,BUF,BLOCKS,3.5,0.3525,1.0,0.004593,Under,0.995407
2026-01-24,Emil Heineman,NYI,BUF,BLOCKS,3.5,0.3525,1.0,0.004593,Under,0.995407
2026-01-24,Max Shabanov,NYI,BUF,BLOCKS,3.5,0.3525,1.0,0.004593,Under,0.995407
2026-01-24,Logan Stankoven,CAR,OTT,BLOCKS,3.5,0.3523,1.0,0.004615,Under,0.995385
2026-01-24,Nils Hoglander,VAN,,BLOCKS,2.5,0.1992,1.0,0.004669,Under,0.995331
2026-01-24,Evander Kane,VAN,,BLOCKS,2.5,0.1992,1.0,0.004669,Under,0.995331
2026-01-24,Zack MacEwen,NJD,,BLOCKS,3.5,0.3587,1.0,0.00473,Under,0.99527
2026-01-24,Gabriel Vilardi,WPG,DET,BLOCKS,3.5,0.3563,1.0,0.004731,Under,0.995269
2026-01-24,Trevor Zegras,PHI,,BLOCKS,2.5,0.1982,1.0,0.004769,Under,0.995231
2026-01-24,Tom Wilson,WSH,EDM,BLOCKS,2.5,0.2069,1.0,0.004826,Under,0.995174
2026-01-24,Joel Armia,LAK,STL,BLOCKS,3.5,0.3701,1.0,0.00488,Under,0.99512
2026-01-24,Justin Sourdif,WSH,EDM,BLOCKS,3.5,0.3666,1.0,0.004886,Under,0.995114
2026-01-24,Josh Anderson,MTL,BOS,BLOCKS,2.5,0.2111,0.98,0.004923,Under,0.995077
2026-01-24,Cole Caufield,MTL,BOS,BLOCKS,2.5,0.2111,0.98,0.004923,Under,0.995077
2026-01-24,Alex Newhook,MTL,BOS,BLOCKS,2.5,0.2111,0.98,0.004923,Under,0.995077
2026-01-24,Mikey Anderson,LAK,STL,BLOCKS,2.5,0.2111,1.0,0.004942,Under,0.995058
2026-01-24,Sandis Vilmanis,FLA,MIN,BLOCKS,3.5,0.3553,1.0,0.004965,Under,0.995035
2026-01-24,Brad Marchand,FLA,MIN,BLOCKS,3.5,0.3553,1.0,0.004965,Under,0.995035
2026-01-24,Eric Comrie,WPG,DET,SAVES,24.5,4.2454,1.0,0.004976,Under,0.995024
2026-01-24,Vitek Vanecek,UTA,NSH,SAVES,30.5,5.3891,1.0,0.005023,Under,0.994977
2026-01-24,Petr Mrazek,ANA,,SAVES,30.5,5.3653,1.0,0.005077,Under,0.994923
2026-01-24,Gavin Brindley,COL,,BLOCKS,2.5,0.2117,1.0,0.005116,Under,0.994884
2026-01-24,Robby Fabbri,STL,LAK,BLOCKS,3.5,0.3773,1.0,0.005165,Under,0.994835
2026-01-24,Spencer Martin,NYR,,SAVES,28.5,4.9886,1.0,0.005171,Under,0.994829
2026-01-24,Connor McDavid,EDM,WSH,BLOCKS,3.5,0.3774,1.0,0.005323,Under,0.994677
2026-01-24,Vasily Podkolzin,EDM,WSH,BLOCKS,3.5,0.3774,1.0,0.005323,Under,0.994677
2026-01-24,Samuel Helenius,LAK,STL,BLOCKS,2.5,0.2191,1.0,0.005424,Under,0.994576
2026-01-24,Kailer Yamamoto,UTA,NSH,BLOCKS,3.5,0.3717,1.0,0.005426,Under,0.994574
2026-01-24,Sammy Blais,MTL,BOS,BLOCKS,2.5,0.22,0.98,0.005457,Under,0.994543
2026-01-24,Zach Hyman,EDM,WSH,BLOCKS,2.5,0.2178,1.0,0.005483,Under,0.994517
2026-01-24,Jonatan Berggren,STL,LAK,BLOCKS,1.5,0.0821,1.0,0.005503,Under,0.994497
2026-01-24,Isaac Howard,EDM,WSH,BLOCKS,1.5,0.0818,1.0,0.005569,Under,0.994431
2026-01-24,Nick Cousins,OTT,CAR,BLOCKS,2.5,0.2153,1.0,0.005577,Under,0.994423
2026-01-24,Gustav Nyquist,WPG,DET,BLOCKS,3.5,0.3794,1.0,0.005691,Under,0.994309
2026-01-24,Konsta Helenius,BUF,NYI,BLOCKS,2.5,0.2191,1.0,0.005764,Under,0.994236
2026-01-24,Simon Holmstrom,NYI,BUF,BLOCKS,3.5,0.3823,1.0,0.005824,Under,0.994176
2026-01-24,Evgeni Malkin,PIT,,BLOCKS,2.5,0.2246,1.0,0.006059,Under,0.993941
2026-01-24,Pavel Dorofeyev,VGK,,BLOCKS,3.5,0.3838,1.0,0.006072,Under,0.993928
2026-01-24,Braeden Bowman,VGK,,BLOCKS,3.5,0.3838,1.0,0.006072,Under,0.993928
2026-01-24,Anthony Mantha,PIT,,BLOCKS,2.5,0.2252,1.0,0.006104,Under,0.993896
2026-01-24,Mads Sogaard,OTT,CAR,SAVES,30.5,5.6436,1.0,0.00615,Under,0.99385
2026-01-24,Frederik Andersen,CAR,OTT,SAVES,26.5,4.8536,1.0,0.006156,Under,0.993844
2026-01-24,Akira Schmid,VGK,,SAVES,26.5,4.8048,1.0,0.006171,Under,0.993829
2026-01-24,Ben Kindel,PIT,,BLOCKS,3.5,0.3941,1.0,0.006241,Under,0.993759
2026-01-24,Tyler Toffoli,SJS,,BLOCKS,3.5,0.3944,1.0,0.006266,Under,0.993734
2026-01-24,Teddy Blueger,VAN,,BLOCKS,2.5,0.2249,1.0,0.0063,Under,0.9937
2026-01-24,Kevin Fiala,LAK,STL,BLOCKS,2.5,0.2353,1.0,0.006461,Under,0.993539
2026-01-24,Jordan Kyrou,STL,LAK,BLOCKS,2.5,0.2356,1.0,0.00648,Under,0.99352
2026-01-24,Viktor Arvidsson,BOS,MTL,BLOCKS,3.5,0.3926,1.02,0.006521,Under,0.993479
2026-01-24,Zemgus Girgensons,TBL,CBJ,BLOCKS,2.5,0.2332,1.0,0.00665,Under,0.99335
2026-01-24,Nikita Kucherov,TBL,CBJ,BLOCKS,2.5,0.2332,1.0,0.00665,Under,0.99335
2026-01-24,Jack Finley,TBL,CBJ,BLOCKS,2.5,0.2332,1.0,0.00665,Under,0.99335
2026-01-24,Sam Carrick,NYR,,BLOCKS,3.5,0.3984,1.0,0.006655,Under,0.993345
2026-01-24,John Tavares,TOR,,BLOCKS,2.5,0.2314,1.0,0.006868,Under,0.993132
2026-01-24,Matias Maccelli,TOR,,BLOCKS,2.5,0.2314,1.0,0.006868,Under,0.993132
2026-01-24,Mathew Barzal,NYI,BUF,BLOCKS,3.5,0.4061,1.0,0.006924,Under,0.993076
2026-01-24,Conor Sheary,NYR,,BLOCKS,3.5,0.4082,1.0,0.007132,Under,0.992868
2026-01-24,Petr Mrazek,ANA,,SAVES,28.5,5.3653,1.0,0.007136,Under,0.992864
2026-01-24,Andrei Svechnikov,CAR,OTT,BLOCKS,2.5,0.2385,1.0,0.007158,Under,0.992842
2026-01-24,Jesperi Kotkaniemi,CAR,OTT,BLOCKS,2.5,0.2385,1.0,0.007158,Under,0.992842
2026-01-24,Dawson Mercer,NJD,,BLOCKS,3.5,0.4137,1.0,0.007164,Under,0.992836
